```csv id="rtm01"
Requirement_ID,Requirement_Title,Requirement_Category,Priority,Source_Document,Source_Version,Testcase_ID,Test_Type,Automation_Candidate,Data_Required,Security_Relevance,Performance_Relevance,Status
REQ-CUST-001,Customer ID must be system generated and unique,Customer Data,Must,SRS-CUSTOMER-001,1.0,TC-CUST-001,Functional,Yes,TD-CUST-001,No,No,Active
REQ-CUST-002,Customer Name is mandatory and must not be empty,Validation,Must,SRS-CUSTOMER-001,1.0,TC-CUST-002,Functional,Yes,TD-CUST-002,No,No,Active
REQ-CUST-003,Country is mandatory,Validation,Must,SRS-CUSTOMER-001,1.0,TC-CUST-003,Functional,Yes,TD-CUST-003,No,No,Active
REQ-CUST-004,Only supported countries are accepted,Validation,Must,SRS-CUSTOMER-001,1.0,TC-CUST-004,Functional,Yes,TD-CUST-004,No,No,Active
REQ-CUST-005,Country validation is case insensitive,Validation,Should,SRS-CUSTOMER-001,1.0,TC-CUST-005,Functional,Yes,TD-CUST-005,No,No,Active
REQ-CUST-006,Email is optional but must be valid when supplied,Validation,Should,SRS-CUSTOMER-001,1.0,TC-CUST-006,Functional,Yes,TD-CUST-006,No,No,Active
REQ-CUST-007,Phone is optional but must be valid when supplied,Validation,Should,SRS-CUSTOMER-001,1.0,TC-CUST-007,Functional,Yes,TD-CUST-007,No,No,Active
REQ-CUST-008,Authorized users can create a valid customer,Create,Must,SRS-CUSTOMER-001,1.0,TC-CUST-008,Functional,Yes,TD-CUST-008,Yes,Yes,Active
REQ-CUST-009,Successful customer creation returns the created customer information,Create,Must,SRS-CUSTOMER-001,1.0,TC-CUST-009,Functional,Yes,TD-CUST-008,No,No,Active
REQ-CUST-010,Successful customer creation must persist exactly one customer record,Data Integrity,Must,SRS-CUSTOMER-001,1.0,TC-CUST-010,Functional,Yes,TD-CUST-008,No,No,Active
REQ-CUST-011,Created customer must be retrievable using returned customer ID,Create,Must,SRS-CUSTOMER-001,1.0,TC-CUST-011,Functional,Yes,TD-CUST-008,No,No,Active
REQ-CUST-012,Duplicate customer must not be created,Duplicate Prevention,Must,SRS-CUSTOMER-001,1.0,TC-CUST-012,Functional,Yes,TD-CUST-009,No,No,Active
REQ-CUST-013,Duplicate detection is based on customer name and country,Duplicate Prevention,Must,SRS-CUSTOMER-001,1.0,TC-CUST-013,Functional,Yes,TD-CUST-009,No,No,Active
REQ-CUST-014,Existing customer must remain unchanged when duplicate creation is attempted,Data Integrity,Must,SRS-CUSTOMER-001,1.0,TC-CUST-014,Functional,Yes,TD-CUST-009,No,No,Active
REQ-CUST-015,Authorized users can retrieve an existing customer,Retrieve,Must,SRS-CUSTOMER-001,1.0,TC-CUST-015,Functional,Yes,TD-CUST-010,Yes,Yes,Active
REQ-CUST-016,Retrieving a customer must not modify customer data,Data Integrity,Must,SRS-CUSTOMER-001,1.0,TC-CUST-016,Functional,Yes,TD-CUST-010,No,No,Active
REQ-CUST-017,Retrieving a nonexistent customer returns not found,Retrieve,Must,SRS-CUSTOMER-001,1.0,TC-CUST-017,Negative,Yes,TD-CUST-011,No,No,Active
REQ-CUST-018,Authorized users can update an existing customer,Update,Must,SRS-CUSTOMER-001,1.0,TC-CUST-018,Functional,Yes,TD-CUST-012,Yes,Yes,Active
REQ-CUST-019,Customer ID cannot be changed during update,Data Integrity,Must,SRS-CUSTOMER-001,1.0,TC-CUST-019,Negative,Yes,TD-CUST-013,No,No,Active
REQ-CUST-020,Country validation applies during update,Validation,Must,SRS-CUSTOMER-001,1.0,TC-CUST-020,Negative,Yes,TD-CUST-014,No,No,Active
REQ-CUST-021,Update must not create a duplicate customer,Duplicate Prevention,Must,SRS-CUSTOMER-001,1.0,TC-CUST-021,Negative,Yes,TD-CUST-009,No,No,Active
REQ-CUST-022,Updating nonexistent customer must not create a customer,Data Integrity,Must,SRS-CUSTOMER-001,1.0,TC-CUST-022,Negative,Yes,TD-CUST-011,No,No,Active
REQ-CUST-023,Manager can create retrieve and update customers,Authorization,Must,SRS-CUSTOMER-001,1.0,TC-CUST-023,Security,Yes,TD-AUTH-001,Yes,No,Active
REQ-CUST-024,Developer can create and retrieve but cannot update customers,Authorization,Must,SRS-CUSTOMER-001,1.0,TC-CUST-024,Security,Yes,TD-AUTH-002,Yes,No,Active
REQ-CUST-025,Business Head can create retrieve and update customers,Authorization,Must,SRS-CUSTOMER-001,1.0,TC-CUST-025,Security,Yes,TD-AUTH-003,Yes,No,Active
REQ-CUST-026,Business Lead can create retrieve and update customers,Authorization,Must,SRS-CUSTOMER-001,1.0,TC-CUST-026,Security,Yes,TD-AUTH-004,Yes,No,Active
